occupation,Sist år,Endring sist år,Endring siste 5 år
Construction supervisors,66240.0,5.899280575539569,20.174165457184326
Contact centre information clerks,48550.0,5.223233636757694,20.56121182021356
Contact centre salespersons,51710.0,8.134671685487243,28.472049689440993
Cooks,42770.0,4.879843060323688,18.640776699029125
Craft and related workers not elsewhere classified,39340.0,6.757123473541384,18.351383874849578
"Crane, hoist and related plant operators",54070.0,4.100885637273778,21.34201077199282
Credit and loans officers,68860.0,5.40333690494413,21.253741855960556
Crop farm labourers,31050.0,-18.41828691539674,3.91566265060241
Customs and border inspectors,51330.0,0.5878894767783657,20.890249646726332
Dancers and choreographers,53300.0,12.068965517241379,25.796554165683265
Data entry clerks,59940.0,4.826862539349422,26.776649746192895
Database and network professionals not elsewhere classified,81190.0,6.019848524418908,26.48387599314535
Database designers and administrators,75560.0,4.959022086400889,24.892561983471072
Debt collectors and related clerks,48230.0,4.529692241005636,15.54863440344993
Dental assistants and therapists,50070.0,5.722128378378379,21.91380569758948
Dentists,76890.0,4.116452268111035,14.470745868691381
Dieticians and nutritionists,61760.0,4.078193461408831,18.700749567557178
Dispensing opticians,56490.0,4.437049362174155,16.091245376078913
Domestic housekeepers,49380.0,3.804919066638638,21.14818449460255
Door to door salespersons,54120.0,2.8701767724767158,20.079875748835146
Draughtspersons,62610.0,5.670886075949367,19.234431536850124
Driving instructors,58440.0,5.946337926033358,26.466132871672798
Early childhood teachers,50420.0,5.724470538897044,21.231065159894204
Earthmoving and related plant operators,50890.0,5.712505193186539,20.649596965386436
Economics,83230.0,5.088383838383838,23.04849201655825
Education managers,74550.0,4.441019893527598,19.452010895689796
Education methods specialists,62240.0,5.259597497040419,18.91478792510508
Electrical and electronic equipment assemblers,48660.0,5.279099956728689,18.740849194729137
Electrical engineering technicians,72400.0,5.156136528685548,20.586275816122583
Electrical engineers,86560.0,4.151125015040308,21.846846846846844
Electrical line installers and repairers,51470.0,5.25562372188139,19.94872989979026
Electrical mechanics and fitters,57610.0,5.570826461425692,19.225993377483444
Electronics engineering technicians,71240.0,4.580152671755725,20.175438596491226
Electronics engineers,83250.0,2.4741506646971936,19.081676441138605
Electronics mechanics and servicers,52550.0,5.755685248540954,21.306555863342567
Elementary workers not elsewhere classified,39830.0,10.916179337231968,14.224261542873531
Employment agents and contractors,57490.0,2.6423852883413677,24.168466522678187
Engineering professionals not elsewhere classified,81930.0,3.4861690034103825,15.41062121425553
Enquiry clerks,50280.0,4.35865504358655,22.84387979477156
Environmental and occupational health inspectors and associates,72700.0,4.574223245109321,21.30819289170699
Environmental engineers,72900.0,3.4482758620689653,17.846750727449077
Environmental protection professionals,71010.0,5.827123695976155,25.503711558854718
Ergotherapists,51030.0,4.9136513157894735,21.153846153846153
"Farming, forestry and fisheries advisers",63480.0,1.7633857005450466,14.916727009413469
Filing and copying clerks,51250.0,2.6026026026026026,19.715019855174024
"Film, stage and related directors and producers",65640.0,5.1923076923076925,16.921980762379764
Finance managers,113320.0,5.78790141896938,24.308907415533128
Financial analysts,79720.0,6.293333333333333,20.150715900527505
Financial and insurance services branch managers,120620.0,4.914325476211186,20.849614267107505
Financial and investment advisers,81140.0,4.710285198090077,22.0333884794706
Fire-fighters,60990.0,4.829838432451014,22.1021021021021
Fishery workers,49760.0,5.334462320067739,16.39766081871345
Fitness and recreation instructors and program leaders,43940.0,9.932449337002753,23.774647887323944
Floor layers and tile setters,49050.0,6.099935107073328,21.561338289962826
Food and related products machine operators,44240.0,5.0831353919239906,20.217391304347824
Food service counter attendants,36420.0,6.740914419695193,26.546212647671997
Forestry and related workers,41930.0,3.022113022113022,17.4180901708205
Forestry technicians,59060.0,5.577404361816232,23.65996649916248
