region,Total,Change,Change in percent
Tvedestrand,2648,186,7.554833468724614
Tydal,316,-38,-10.734463276836157
Tynset,3628,190,5.526468877254217
Tysnes,1315,19,1.4660493827160492
Tysvær,5611,406,7.800192122958693
Tønsberg,36225,1786,5.185981009901565
Ullensaker,30384,5789,23.537304330148405
Ullensvang,6050,445,7.939339875111508
Ulstein,5296,38,0.7227082540890073
Ulvik,436,46,11.794871794871794
Unjárga - Nesseby,310,-15,-4.615384615384616
Utsira,102,-4,-3.7735849056603774
Vadsø,3140,5,0.1594896331738437
Vaksdal,1343,29,2.207001522070015
Valle,580,-9,-1.5280135823429541
Vang,822,59,7.732634338138926
Vanylven,1391,-48,-3.3356497567755383
Vardø,882,70,8.620689655172415
Vefsn,7694,267,3.594991248148647
Vega,386,33,9.34844192634561
Vegårshei,625,50,8.695652173913043
Vennesla,5301,72,1.376936316695353
Verdal,6757,137,2.069486404833837
Vestby,10123,916,9.948951884435756
Vestnes,3906,284,7.840971838763114
Vestre Slidre,928,110,13.447432762836186
Vestre Toten,7154,193,2.7725901450940955
Vestvågøy,5630,241,4.4720727407682315
Vevelstad,137,5,3.787878787878788
Vik,1244,44,3.6666666666666665
Vindafjord,5826,215,3.831759044733559
Vinje,2061,189,10.096153846153847
Volda,5725,340,6.313834726090993
Voss,8351,395,4.964806435394671
Vågan,5436,361,7.113300492610837
Vågå,1591,106,7.1380471380471375
Våler (Innlandet),1582,58,3.805774278215223
Våler (Viken),1638,38,2.375
Værøy,348,13,3.880597014925373
Åfjord,2396,-11,-0.4570004154549232
Ål,2792,150,5.677517032551098
Ålesund,41559,2337,5.958390699097445
Åmli,786,-11,-1.3801756587202008
Åmot,1840,-16,-0.8620689655172413
Årdal,2685,-44,-1.6123122022718945
Ås,13071,1338,11.403733060598313
Åseral,612,14,2.341137123745819
Åsnes,2788,81,2.9922423346878464
Øksnes,2424,162,7.161803713527852
Ørland,5009,175,3.6201903185767477
Ørsta,4854,229,4.951351351351351
Østre Toten,5255,111,2.1578538102643856
Øvre Eiker,7160,339,4.9699457557542885
Øyer,2182,248,12.82316442605998
Øygarden,15840,483,3.1451455362375467
Øystre Slidre,1641,153,10.28225806451613
