region,Lives in the region,Works in the region
Værøy,41510.0,42860.0
Åfjord,43590.0,43700.0
Ål,43270.0,43570.0
Ålesund,45250.0,44410.0
Åmli,42610.0,40580.0
Åmot,42410.0,42820.0
Årdal,47990.0,47940.0
Ås,47920.0,46590.0
Åseral,42540.0,41490.0
Åsnes,41570.0,40590.0
Øksnes,42880.0,41810.0
Ørland,45470.0,44930.0
Ørsta,43660.0,43030.0
Østre Toten,42650.0,39500.0
Øvre Eiker,44490.0,42060.0
Øyer,42480.0,40320.0
Øygarden,46080.0,44990.0
Øystre Slidre,40740.0,40590.0
