yrke,Gjennomsnitt,Median,Forskjell i kr,Forskjell i pst
Operatører innen glass- og keramisk produksjon,42440.0,40350.0,2090.0,4.924599434495758
Operatører innen kjemisk industri,52600.0,53290.0,-690.0,-1.311787072243346
Operatører innen metallurgiske prosessfag,45090.0,44190.0,900.0,1.996007984031936
Operatører innen næringsmiddelproduksjon,42100.0,40080.0,2020.0,4.798099762470309
Operatører innen papirprodukter,41490.0,41090.0,400.0,0.9640877319836104
Operatører innen plastprodukter,43600.0,42490.0,1110.0,2.5458715596330275
Operatører innen produksjon av betong mv.,44760.0,43610.0,1150.0,2.5692582663092045
Operatører innen produksjon av gummiprodukter,42150.0,40330.0,1820.0,4.31791221826809
Operatører innen tekstilproduksjon mv.,41480.0,39690.0,1790.0,4.31533269045323
Operatører innen treforedling,43280.0,42290.0,990.0,2.2874306839186693
Operatører innen trelastproduksjon,41530.0,40220.0,1310.0,3.1543462557187576
Optikere,54090.0,51620.0,2470.0,4.566463301904234
Organisasjonsrådgivere mv.,74810.0,65830.0,8980.0,12.003742815131666
Overflatebehandlere og lakkerere,44560.0,44430.0,130.0,0.29174147217235186
"Oversettere, tolker mv.",53660.0,50000.0,3660.0,6.820723071188968
PR- og informasjonssjefer,83250.0,75000.0,8250.0,9.90990990990991
"Pakke-, tappe- og etikettmaskinoperatører",44160.0,42990.0,1170.0,2.6494565217391304
Personal- og karriererådgivere,65970.0,60830.0,5140.0,7.79142034257996
Personalkontormedarbeidere,55890.0,53570.0,2320.0,4.151010914295938
Personalsjefer,92590.0,84170.0,8420.0,9.093854627929582
Plante- og husdyrprodusenter (kombinasjonsbruk),36280.0,35000.0,1280.0,3.528114663726571
Platearbeidere,44280.0,43840.0,440.0,0.9936766034327009
Politibetjenter mv.,61480.0,60800.0,680.0,1.1060507482108002
Politikere,83890.0,81190.0,2700.0,3.2185004172130167
Presisjonsinstrumentmakere og -reparatører,56320.0,50330.0,5990.0,10.635653409090908
Produkt- og klesdesignere,61340.0,58330.0,3010.0,4.907075317900228
Programledere i TV og radio,69000.0,65640.0,3360.0,4.869565217391305
Programvareutviklere,73070.0,69510.0,3560.0,4.872040509100862
Prosessoperatører (oppredning),58310.0,56620.0,1690.0,2.8983021780140628
Protese- og tannteknikere,53400.0,51880.0,1520.0,2.846441947565543
Psykologer,63990.0,60170.0,3820.0,5.969682762931708
Radiografer mv.,52960.0,53670.0,-710.0,-1.3406344410876132
Regissører,62400.0,57870.0,4530.0,7.259615384615385
Regnskapsførere,60480.0,56180.0,4300.0,7.109788359788361
Regnskapsmedarbeidere,53820.0,51000.0,2820.0,5.2396878483835
Reisebyråmedarbeidere mv.,45440.0,43490.0,1950.0,4.29137323943662
Reiseledere og guider,40110.0,38510.0,1600.0,3.989030167040638
Reklame- og markedsføringsrådgivere,60340.0,56250.0,4090.0,6.7782565462379845
Reklamedistributører mv.,42770.0,41410.0,1360.0,3.1797989244797757
Religiøse yrker,48390.0,48280.0,110.0,0.22731969415168424
Renholdere i bedrifter,39900.0,38490.0,1410.0,3.5338345864661656
Renholdsledere i bedrifter,46100.0,43870.0,2230.0,4.837310195227765
Renovasjonsarbeidere,43140.0,42010.0,1130.0,2.619378766805749
Renseri- og vaskerimaskinoperatører,37680.0,38070.0,-390.0,-1.0350318471337578
Resepsjonister (ekskl. hotell),45200.0,44980.0,220.0,0.48672566371681414
Reseptarer,48970.0,48060.0,910.0,1.8582805799469062
Restaurantsjefer,49330.0,46810.0,2520.0,5.1084532738698565
"Revisorer, regnskapsrådgivere",71670.0,66530.0,5140.0,7.171759453048695
Riggere og spleisere,52810.0,50930.0,1880.0,3.5599318310925963
Rådgivere innen kompetanseutvikling,66780.0,60070.0,6710.0,10.047918538484577
Rådgivere innen sosiale fagfelt,51440.0,51220.0,220.0,0.4276827371695179
"Rådgivere/forskere, humanistiske fag",54470.0,53470.0,1000.0,1.8358729575913346
"Rådgivere/forskere, samfunnsvitenskap",67230.0,64140.0,3090.0,4.596162427487728
"Rådgivere/forskere, samfunnsøkonomi",79200.0,66670.0,12530.0,15.820707070707071
Rørleggere og VVS-montører,48370.0,49350.0,-980.0,-2.0260492040520983
Saksbehandlere innen sosiale ytelser,46960.0,47130.0,-170.0,-0.36201022146507666
Salgs- og markedssjefer,89080.0,81490.0,7590.0,8.520431073192636
Salgskonsulenter innen IKT-produkter,75190.0,69110.0,6080.0,8.086181673094826
Salgskonsulenter innen tekniske og medisinske produkter,73770.0,70090.0,3680.0,4.98847770096245
Selgere (engros),64780.0,59410.0,5370.0,8.289595554183391
Sentralbordoperatører,43570.0,42790.0,780.0,1.7902226302501723
Serviceelektronikere,49690.0,46030.0,3660.0,7.365667136244718
Servicemedarbeidere (bensinstasjon),40850.0,37560.0,3290.0,8.053855569155447
Servitører,35700.0,34910.0,790.0,2.212885154061625
Sikkerhetsanalytikere mv.,76580.0,72580.0,4000.0,5.223295899712719
Sivilagronomer mv.,62380.0,59620.0,2760.0,4.42449503045848
Sivilarkitekter,71110.0,69190.0,1920.0,2.70004218815919
Sivilingeniører (bygg og anlegg),74600.0,69690.0,4910.0,6.581769436997319
Sivilingeniører (elektronikk),81240.0,75770.0,5470.0,6.73313638601674
Sivilingeniører (elkraftteknikk),83110.0,77500.0,5610.0,6.750090241848153
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",95110.0,91020.0,4090.0,4.300283881821049
Sivilingeniører (industri og produksjon),69970.0,62590.0,7380.0,10.54737744747749
Sivilingeniører (kjemi),74040.0,66720.0,7320.0,9.886547811993516
Sivilingeniører (maskin- og marin-teknikk),80230.0,77500.0,2730.0,3.4027171880842575
Sivilingeniører (miljøteknikk),70470.0,67620.0,2850.0,4.044274159216688
Sivilingeniører (telekommunikasjon),78080.0,74240.0,3840.0,4.918032786885246
Sjefskokker,45190.0,44150.0,1040.0,2.301394113741978
Sjefssekretærer,58310.0,53100.0,5210.0,8.935002572457554
Skattefunksjonærer,49930.0,48060.0,1870.0,3.745243340676948
Skiftekonduktører mv,59390.0,58550.0,840.0,1.4143795251725881
Skipsmaskinister,77590.0,74680.0,2910.0,3.7504833097048587
Skogbrukere,40700.0,39140.0,1560.0,3.832923832923833
Skogteknikere,55940.0,54170.0,1770.0,3.164104397568824
Skoleassistenter,37120.0,36790.0,330.0,0.8890086206896552
"Skreddere, buntmakere mv.",43670.0,45480.0,-1810.0,-4.144721776963591
Skuespillere,50270.0,50000.0,270.0,0.5370996618261389
"Skulptører, kunstmalere og andre billedkunstnere",50130.0,48630.0,1500.0,2.9922202274087373
Skytebaser og sprengningsarbeidere,63460.0,63970.0,-510.0,-0.8036558462023322
"Slaktere, fiskehandlere mv.",43140.0,41240.0,1900.0,4.40426518312471
Smeder,43490.0,43570.0,-80.0,-0.18395033340997932
Speditører og befraktere,57710.0,51310.0,6400.0,11.089932420724312
Spesialister i pedagogikk,59130.0,61250.0,-2120.0,-3.585320480297649
Spesiallærere / spesialpedagoger,52310.0,52140.0,170.0,0.3249856623972472
Spesialsykepleiere,59330.0,58750.0,580.0,0.9775830102814764
Spinne- og nøstemaskinoperatører,39150.0,39130.0,20.0,0.05108556832694764
Sports- og aktivitetsinstruktører,39970.0,38640.0,1330.0,3.327495621716287
"Sports-, rekreasjons- og kultursenterledere",62680.0,58330.0,4350.0,6.940012763241864
Steinhoggere mv.,47130.0,45020.0,2110.0,4.4769785699130065
Strategi- og planleggingssjefer,80340.0,78750.0,1590.0,1.9790888722927558
Støpere,44210.0,42240.0,1970.0,4.456005428636056
Sveisere,46890.0,45180.0,1710.0,3.6468330134357005
Sykepleiere,52510.0,52210.0,300.0,0.5713197486193107
Sykkelreparatører mv.,35640.0,35720.0,-80.0,-0.22446689113355783
Systemadministratorer,66510.0,61060.0,5450.0,8.194256502781537
Systemanalytikere/-arkitekter,73750.0,70460.0,3290.0,4.461016949152542
Takstmenn,60850.0,56000.0,4850.0,7.970419063270337
Taktekkere,46140.0,45060.0,1080.0,2.340702210663199
Tannleger,73850.0,68330.0,5520.0,7.474610697359513
Tannpleiere,47360.0,46820.0,540.0,1.1402027027027026
Teknikere innen luftfartssikkerhet,75090.0,75170.0,-80.0,-0.10653882008256757
Teknikere innen radio og tv,55310.0,54140.0,1170.0,2.1153498463207376
Teknikere innen telekom,49400.0,46190.0,3210.0,6.4979757085020236
Tekniske konservatorer,49230.0,50350.0,-1120.0,-2.2750355474304285
Tekniske tegnere,59250.0,57090.0,2160.0,3.645569620253165
Tele- og IKT-installatører,41100.0,43840.0,-2740.0,-6.666666666666667
Telefon- og nettselgere,47820.0,44940.0,2880.0,6.022584692597239
Tollere,51030.0,50860.0,170.0,0.3331373701744072
Toppledere i interesseorganisasjoner,75160.0,70310.0,4850.0,6.452900478978179
Toppledere i offentlig administrasjon,114210.0,110420.0,3790.0,3.3184484721127747
Torghandlere,59250.0,58340.0,910.0,1.5358649789029537
Transportfunksjonærer,50860.0,51340.0,-480.0,-0.9437672040896579
Trenere og idrettsdommere,48320.0,45700.0,2620.0,5.422185430463576
Truckførere,44480.0,43260.0,1220.0,2.7428057553956835
Trykkere,43860.0,42760.0,1100.0,2.5079799361605106
Tømrere og snekkere,43800.0,43460.0,340.0,0.776255707762557
Universitets- og høyskolelektorer/-lærere,60010.0,57770.0,2240.0,3.7327112147975336
Uoppgitt / yrker som ikke kan identifiseres,51780.0,47560.0,4220.0,8.149864812668985
Vaktmestre,47350.0,44860.0,2490.0,5.258711721224921
Varehandelssjefer,59530.0,52000.0,7530.0,12.649084495212499
Varepåfyllere,39050.0,38730.0,320.0,0.8194622279129321
Vektere,41620.0,39710.0,1910.0,4.589139836617011
"Verktøymaker, låsesmeder mv.",47350.0,47300.0,50.0,0.10559662090813093
Vernepleiere,52050.0,52220.0,-170.0,-0.3266090297790586
Veterinærer,62520.0,60070.0,2450.0,3.9187460012795903
"Vevere, strikkere mv. (innen husflidsproduksjon)",37830.0,39010.0,-1180.0,-3.119217552207243
Yrker innen alternativ medisin,52720.0,52820.0,-100.0,-0.18968133535660092
Yrkesdykkere,55510.0,54000.0,1510.0,2.720230589083048
Yrkesfaglærere,52680.0,52120.0,560.0,1.0630220197418374
