yrke,Sist år,Endring sist år,Endring siste 5 år
Interiørdesignere og dekoratører,46150.0,4.011719630380888,14.26095568209953
Internett-teknikere,56290.0,1.059245960502693,12.109141605257918
Isolatører mv.,39730.0,3.1144562678432393,7.727765726681128
Jordbruks- og skogbruksmaskinførere,39670.0,2.9053177691309986,15.994152046783624
Jordmødre,57460.0,7.261526974052641,15.47427652733119
Journalister,56100.0,3.0303030303030303,13.562753036437247
Jurister og advokater,74270.0,3.845078299776286,12.735276259866424
Kiropraktorer mv.,54810.0,7.554945054945055,11.063829787234042
Kjemiingeniører,59440.0,4.7031883036815225,6.313718476122339
Kjemikere,70990.0,6.3520599250936325,12.503961965134708
Kjøkkenassistenter,31270.0,3.303600925008259,15.3023598820059
Kjøreskolelærere,49930.0,8.050205583207099,16.170311772917636
Kokker,37300.0,3.467406380027739,13.893129770992365
Konduktører,53200.0,1.7597551644988525,7.301331181928197
Konferanse- og arrangementsplanleggere mv.,55140.0,2.0355292376017764,14.137859656385842
Kontormedarbeidere,43440.0,4.272683629380701,13.361169102296449
Kontrolloperatører innen kjemisk prosessindustri,55230.0,3.679369250985545,8.80614657210402
Kontrolloperatører innen metallproduksjon,49630.0,2.881426202321725,13.647813144034806
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,70830.0,4.284452296819788,11.19309262166405
Kopper- og blikkenslagere,41170.0,3.9646464646464645,12.763626403725006
Koreografer og dansere,43300.0,2.1949492565494455,5.532537167925907
Kosmetologer mv.,36950.0,6.361542890040299,16.598295992426635
Kran- og heisførere mv.,46240.0,3.7701974865350087,13.250061229488121
Kuldemontører mv.,47290.0,4.277839029768468,13.025812619502869
Kundebehandlere lån og kreditt,58940.0,3.7858777953865115,17.550857598723574
"Kundebehandlere, bank og postkontor",39930.0,1.4481707317073171,8.89010089991819
Kundesentermedarbeidere,42160.0,4.693320089396573,14.534093996196686
Lagermedarbeidere og material-forvaltere,41950.0,4.66566866267465,13.409029467423627
"Landmålere, kartografer mv.",55720.0,4.5403377110694185,12.9764801297648
Landskapsarkitekter,62970.0,3.7226157140504035,9.79947689625109
Laste- og lossearbeidere,39550.0,4.216073781291173,16.289326668626874
Lastebil- og trailersjåfører,40250.0,2.862254025044723,11.003861003861005
Ledere av IKT-enheter,86040.0,4.051275849558592,14.796531020680453
Ledere av bygge- og anleggsvirksomhet,67750.0,4.118641463039803,13.427088565210113
Ledere av eldreomsorg,62690.0,4.118917123401428,12.610023351895098
Ledere av forsikring og finansvirksomhet,103280.0,3.4766055505460374,16.59516820952811
Ledere av helsetjenester,68220.0,4.7122026093630085,12.94701986754967
Ledere av industriproduksjon mv.,77260.0,5.748699698877635,13.651073845248602
Ledere av logistikk og transport mv.,71120.0,4.281524926686217,13.014460511679642
Ledere av olje- og gassutvinning mv.,110850.0,2.1753156972992906,7.329589465530597
Ledere av omsorgstjenester for barn,57620.0,4.459753444525018,12.78136621648072
Ledere av sosialomsorg,60730.0,4.257510729613734,11.595001837559721
Ledere av utdanning og undervisning,64740.0,3.733376061528601,11.890770826132043
"Ledere i skogbruk, gartnerier mv.",63250.0,5.539796429167362,14.314115308151093
Ledere innen akvakultur mv.,74850.0,3.498340707964602,13.151927437641723
Legespesialister,91860.0,6.098406098406098,12.725487789912874
Lektorer mv. (videregående skole),52780.0,5.118502290380402,10.303030303030303
Logistikkmedarbeidere,47940.0,3.9687703318152243,8.806173399909214
Lokomotiv og T-baneførere,59840.0,5.056179775280898,9.838472834067549
Lønningsmedarbeidere,48320.0,4.54348766767633,12.5553226182157
Malere og byggtapetserere,39290.0,4.079470198675496,12.902298850574711
Maskiningeniører,57340.0,3.4831257895686694,11.016456921587608
"Matematikere, statistikere mv.",59790.0,3.353500432152118,10.96881959910913
Mekanikere innen flytekniske fag,61270.0,4.112149532710281,13.568118628359594
Melke- og husdyrprodusenter,33210.0,4.664355499527261,16.444600280504908
Metalldreiere mv.,40620.0,4.582904222451082,12.334070796460177
Meteorologer,55410.0,3.376865671641791,9.031877213695395
Miljøarbeidere innen sosiale fagfelt,44580.0,4.134548002803083,11.450000000000001
Miljøvernrådgivere,59040.0,4.3478260869565215,12.030360531309297
Montører av elektriske og elektroniske produkter,42430.0,3.5383113714006833,10.494791666666666
Montører av mekaniske produkter,41290.0,1.3002944062806674,11.474082073434126
Murere,41400.0,4.757085020242915,14.936146585230428
Møbelsnekkere,38820.0,4.019292604501608,13.87503666764447
Møbeltapetserere mv.,38870.0,4.320987654320987,8.48451018699414
Nett- og multimediautviklere,54080.0,1.4443819170887262,14.16508338610935
"Nettverks- og systemteknikere, IKT",60230.0,3.6839387157858496,11.475106422357948
Offiserer fra fenrik og høyere grad,74510.0,11.74265146970606,23.956080519048413
Operatører innen boring mv.,65290.0,3.849212661046604,12.105082417582418
Operatører innen glass- og keramisk produksjon,39270.0,3.77906976744186,12.007986309184256
Operatører innen kjemisk industri,48140.0,3.4823731728288907,14.102867978193883
Operatører innen metallurgiske prosessfag,40620.0,2.9136052698251835,10.7113654946852
Operatører innen næringsmiddelproduksjon,38460.0,4.510869565217392,12.39041496201052
Operatører innen papirprodukter,35980.0,3.301751363766867,6.449704142011835
Operatører innen plastprodukter,39290.0,4.272823779193206,12.967222541690626
Operatører innen produksjon av betong mv.,40280.0,3.975219411461022,10.81155433287483
Operatører innen produksjon av gummiprodukter,38780.0,-3.0257564391097773,6.979310344827586
Operatører innen tekstilproduksjon mv.,37970.0,4.629374483328741,10.926088226701722
Operatører innen treforedling,38960.0,3.0142781597038604,12.764109985528219
Operatører innen trelastproduksjon,37870.0,4.613259668508287,14.72281126931233
Optikere,49970.0,2.692149609535553,10.749113475177305
Organisasjonsrådgivere mv.,69370.0,6.575510831156859,15.674503918625978
Overflatebehandlere og lakkerere,40050.0,2.22052067381317,12.976022566995768
"Oversettere, tolker mv.",44990.0,1.6952983725135624,19.654255319148938
PR- og informasjonssjefer,75410.0,3.956437827405569,14.604863221884498
"Pakke-, tappe- og etikettmaskinoperatører",41500.0,-0.5273250239693192,5.86734693877551
Personal- og karriererådgivere,60120.0,3.852133356365521,13.541076487252123
Personalkontormedarbeidere,51670.0,4.468257177517185,15.618706645782055
Personalsjefer,86580.0,5.585365853658537,13.966039226010269
Plante- og husdyrprodusenter (kombinasjonsbruk),32410.0,4.514672686230249,15.215072875933167
Platearbeidere,40130.0,4.0985732814526585,12.157629960871997
Politibetjenter mv.,53510.0,1.9820850009529254,11.548884719616428
Politikere,73480.0,5.9552992069214135,10.596026490066226
Postbud og postsorterere,38280.0,3.1527890056588523,12.093704245973646
Presisjonsinstrumentmakere og -reparatører,48650.0,4.984894259818732,16.35972255441282
Produkt- og klesdesignere,56140.0,1.8689892941389947,13.966707267559887
Programledere i TV og radio,60060.0,4.307051059395624,12.915961646926114
Programvareutviklere,65870.0,5.089342693044033,15.439887837364177
Prosessoperatører (oppredning),50900.0,2.7867528271405493,6.285237001461683
Protese- og tannteknikere,47810.0,4.2748091603053435,12.04593391141317
Psykologer,57750.0,4.581673306772909,11.336032388663968
Radiografer mv.,48060.0,4.387489139878366,13.643887443840153
Regissører,57270.0,2.012825080156751,9.523809523809524
Regnskapsførere,54820.0,3.7079076806659095,13.311285655229433
Regnskapsmedarbeidere,48610.0,5.057272530797493,15.026029342167535
Reisebyråmedarbeidere mv.,42110.0,7.204684317718941,11.431595660227574
Reiseledere og guider,36240.0,3.454182129603197,13.498277481991858
Reklame- og markedsføringsrådgivere,55840.0,3.830420230568985,12.0160481444333
Reklamedistributører mv.,38450.0,0.9716386554621849,12.822769953051644
Religiøse yrker,43940.0,3.3153068422290146,12.782340862422997
Renholdere i virksomheter,35920.0,4.0254850854329565,12.320200125078173
Renholdsledere i virksomheter,41330.0,4.342337793486493,10.8637339055794
Renovasjonsarbeidere,38670.0,3.617363344051447,11.408815903197926
Renseri- og vaskerimaskinoperatører,33670.0,1.9067796610169492,8.89391979301423
Resepsjonister (ekskl. hotell),40770.0,3.872611464968153,14.490311710193765
Reseptarer,45380.0,3.8206360100663463,7.842205323193917
Restaurantsjefer,44840.0,6.609605325725154,13.432835820895523
"Revisorer, regnskapsrådgivere",65760.0,6.2187045711516715,17.34475374732334
Riggere og spleisere,47400.0,0.7010834926704907,13.560134163871588
Rådgivere innen kompetanseutvikling,60150.0,3.903955778200035,13.46915676287493
Rådgivere innen sosiale fagfelt,46680.0,4.640215198386012,12.808119864668921
"Rådgivere/forskere, humanistiske fag",48600.0,2.9661016949152543,11.442329740885118
"Rådgivere/forskere, samfunnsvitenskap",62090.0,2.662037037037037,11.934378943573103
"Rådgivere/forskere, samfunnsøkonomi",70240.0,3.84387936132466,14.733747141457041
Rørleggere og VVS-montører,43860.0,3.5410764872521248,12.202609363008442
