yrke,Gjennomsnitt,Median,Nedre kvartil,Øvre kvartil
Begravelsesbyrå- og krematoriearbeidere,51260.0,50000.0,44830.0,55870.0
Bergfagarbeidere,51750.0,49570.0,43550.0,60830.0
Betongarbeidere,48950.0,48380.0,42720.0,54930.0
Bibliotekarer og andre informasjonsarbeidere,50190.0,49400.0,46600.0,53300.0
"Bil-, drosje- og varebilførere",40070.0,39060.0,34140.0,44620.0
Billettselgere,43340.0,45390.0,36500.0,49170.0
Bilmekanikere,43870.0,44510.0,38150.0,50220.0
Bilvaskere,38680.0,37350.0,32830.0,42740.0
"Bingoverter, bookmakere mv.",38720.0,34930.0,30590.0,41850.0
Bioingeniører,52110.0,51630.0,47000.0,56530.0
"Biologer, botanikere, zoologer mv.",66200.0,63600.0,55330.0,72910.0
Bioteknikere (ikke-medisinske laboratorier),49050.0,47400.0,42230.0,53830.0
Brannkonstabler,58180.0,57260.0,54080.0,62560.0
"Brukerstøtte, IKT",55920.0,52010.0,43400.0,62690.0
Bud mv.,42010.0,40820.0,35350.0,46140.0
Bussjåfører og trikkeførere,43360.0,43270.0,41170.0,45440.0
Butikkavdelingssjefer,46770.0,43940.0,40740.0,50200.0
Butikkmedarbeidere,40910.0,39590.0,35720.0,44170.0
Bygningsingeniører,64830.0,61080.0,52550.0,73280.0
Databasedesignere og -administratorer,71990.0,68220.0,55250.0,81880.0
Dataregistrere,57180.0,53600.0,44630.0,64790.0
Dekks- og maskinmannskap (skip),51470.0,53420.0,44410.0,60520.0
Dekksoffiserer og loser,76610.0,73690.0,62440.0,88310.0
Desinfeksjonsarbeidere og skadedyrbekjempere,44370.0,42920.0,38440.0,48380.0
"Dirigenter, komponister, musikere og sangere",57420.0,58650.0,52240.0,62540.0
Dommere,96840.0,107080.0,82990.0,112420.0
"Driftsteknikere, IKT",63060.0,59400.0,49730.0,73190.0
Dyrepassere og - trenere mv.,35820.0,34080.0,30200.0,40000.0
Dyrepleiere,40310.0,39150.0,34970.0,44320.0
Dørselgere,52610.0,49430.0,39940.0,60740.0
Egg- og fjærfeprodusenter,41500.0,41170.0,32650.0,46160.0
Eiendomsmeglere og - forvaltere,76130.0,66670.0,51490.0,90750.0
Elektrikere,48650.0,49360.0,43530.0,54940.0
Elektronikkingeniører,68120.0,64530.0,55000.0,77080.0
Elkraftingeniører,68850.0,66020.0,58160.0,76610.0
Energikontrolloperatører,68770.0,63310.0,57070.0,82280.0
Energimontører,48900.0,52610.0,42590.0,57690.0
Ergoterapeuter,48640.0,48580.0,43420.0,53400.0
Ernæringsfysiologer,59340.0,56240.0,50790.0,63820.0
Farmasøyter,60310.0,57450.0,51700.0,65920.0
"Feiere, fasaderenholdere mv.",44930.0,44440.0,40940.0,49170.0
Fengselsbetjenter,48670.0,49800.0,43790.0,54690.0
Finans- og investeringsrådgivere,77490.0,68770.0,56870.0,85450.0
Finans- og økonomisjefer,107120.0,92190.0,75000.0,121200.0
Finansanalytikere,75000.0,68220.0,55850.0,85090.0
Finansmeglere,103430.0,78540.0,59170.0,112670.0
Fiskere,47240.0,45000.0,30450.0,60000.0
Flygere,104310.0,110840.0,66310.0,131580.0
"Flyverter, båtverter mv.",39250.0,35930.0,31440.0,46630.0
Forfattere mv.,65380.0,61500.0,54170.0,73560.0
Forsikrings- og finansmedarbeidere,52090.0,50200.0,46290.0,56080.0
Forsikringsagenter,68750.0,60830.0,50350.0,79450.0
Forsknings- og utviklingsledere,96020.0,89550.0,74380.0,108280.0
Fotografer og filmfotografer,54430.0,52190.0,41670.0,64630.0
Frisører,37590.0,36050.0,30000.0,44890.0
Fyrkjele- og turbinoperatører,51360.0,50110.0,44850.0,57390.0
Fysikere og astronomer,72040.0,68050.0,58330.0,80860.0
Fysioterapeuter,50370.0,49920.0,43750.0,55200.0
Førskole-/barnehagelærere,47690.0,48760.0,43910.0,50930.0
Førtrykkere,45370.0,44000.0,38160.0,51960.0
Gartnere,39530.0,40160.0,30540.0,45380.0
Gatekjøkken- og kafémedarbeidere mv.,34120.0,33770.0,30850.0,37800.0
Geistlige yrker,60690.0,61520.0,54170.0,67230.0
Geologer og geofysikere,101330.0,88270.0,66140.0,124500.0
Gjenvinningsarbeidere,40590.0,40170.0,36370.0,44690.0
Glassarbeidere,44500.0,43140.0,39420.0,47280.0
Grafiske- og multimediadesignere,58550.0,55200.0,46780.0,66670.0
Grunnskolelærere,53580.0,53720.0,50280.0,57710.0
"Gull- og sølvsmeder, gravører mv.",45350.0,44000.0,39050.0,49440.0
Gulv- og flisleggere,46230.0,44480.0,40590.0,49600.0
Handels- og skipsmeglere,124810.0,90770.0,66670.0,130750.0
Havbruksarbeidere,53600.0,53910.0,45850.0,61080.0
Helse- og miljøkontrollører,69520.0,61440.0,53660.0,76390.0
Helsefagarbeidere,44510.0,46500.0,41280.0,49370.0
Helsesekretærer,41810.0,42080.0,40420.0,43770.0
Hjelpearbeidere i anlegg,44550.0,43950.0,38970.0,49430.0
Hjelpearbeidere i bygg,40610.0,40060.0,36970.0,43840.0
Hjelpearbeidere i gartneri mv.,38230.0,39080.0,34100.0,42390.0
Hjelpearbeidere i husdyrproduksjon,32220.0,30000.0,25000.0,39950.0
Hjelpearbeidere i kombinasjonsbruk,34160.0,31820.0,26790.0,37960.0
Hjelpearbeidere i nyttevekstproduksjon,38060.0,27600.0,24610.0,36930.0
Hjelpearbeidere innen havbruk,41510.0,39770.0,38380.0,43840.0
Hjemmehjelper,40450.0,39180.0,36180.0,43860.0
Hotellresepsjonister,37000.0,36530.0,33290.0,40580.0
Hotellsjefer,55330.0,50000.0,43180.0,62400.0
Husholdere,47570.0,46840.0,41050.0,51870.0
Håndpakkere mv.,42580.0,40200.0,36120.0,48840.0
Høyere saksbehandlere i offentlig og privat virksomhet,59760.0,56780.0,50280.0,65110.0
Idrettsutøvere,71420.0,49550.0,35000.0,75200.0
Industrisyere,39360.0,39080.0,35620.0,43280.0
Informasjonsrådgivere,63300.0,59130.0,51680.0,69330.0
Informasjonsskrankemedarbeidere,48180.0,47510.0,41970.0,53000.0
"Ingeniører innen petroleum, bergverk og metallurgi",85700.0,77130.0,63170.0,98680.0
Inkassomedarbeidere mv.,46140.0,44090.0,39990.0,50460.0
Innbindere mv.,40410.0,39210.0,35990.0,42710.0
Innehavere av kiosk/liten butikk,45500.0,42360.0,36660.0,52000.0
Innkjøpere,62850.0,58360.0,50000.0,70350.0
Interiørdesignere og dekoratører,49650.0,45700.0,40730.0,55000.0
Internett-teknikere,60780.0,57750.0,48250.0,69170.0
Intervjuere,30980.0,28480.0,27790.0,30580.0
Isolatører mv.,43320.0,41850.0,39530.0,45830.0
Jordbruks- og skogbruksmaskinførere,43230.0,41900.0,38970.0,46760.0
Jordmødre,63880.0,63590.0,57600.0,70010.0
Journalister,62130.0,59790.0,53890.0,68470.0
Jurister og advokater,81990.0,74400.0,59590.0,96250.0
Kiropraktorer mv.,61350.0,61200.0,52500.0,70000.0
Kjemiingeniører,64740.0,61060.0,51040.0,74270.0
Kjemikere,74900.0,70310.0,59330.0,86000.0
Kjøkkenassistenter,35500.0,35130.0,32050.0,38710.0
Kjøreskolelærere,55160.0,52590.0,47160.0,60720.0
Kokker,40780.0,38930.0,34990.0,44610.0
Konduktører,58800.0,59610.0,54950.0,63200.0
Konferanse- og arrangementsplanleggere mv.,59540.0,52230.0,45000.0,65640.0
Kontormedarbeidere,48300.0,45990.0,41460.0,52930.0
Kontrolloperatører innen kjemisk prosessindustri,60530.0,58970.0,50130.0,68880.0
Kontrolloperatører innen metallproduksjon,54230.0,53110.0,48080.0,56800.0
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,75630.0,70500.0,60990.0,78390.0
Kopper- og blikkenslagere,45520.0,45660.0,40590.0,51440.0
Koreografer og dansere,47560.0,48240.0,34130.0,54520.0
Kosmetologer mv.,39740.0,37400.0,30850.0,46040.0
Kran- og heisførere mv.,51940.0,49410.0,44540.0,56350.0
Kuldemontører mv.,50410.0,51660.0,41670.0,59750.0
Kundebehandlere lån og kreditt,65330.0,57790.0,49500.0,70830.0
"Kundebehandlere, bank og postkontor",43500.0,43090.0,42020.0,44750.0
Kundesentermedarbeidere,46140.0,43380.0,38940.0,50330.0
Lagermedarbeidere og material-forvaltere,46030.0,44390.0,40150.0,50850.0
"Landmålere, kartografer mv.",59790.0,57950.0,53330.0,64500.0
Landskapsarkitekter,68590.0,66570.0,56670.0,79170.0
Laste- og lossearbeidere,44890.0,44570.0,38850.0,50460.0
Lastebil- og trailersjåfører,44340.0,43020.0,39040.0,48550.0
Ledere av IKT-enheter,96730.0,88890.0,70830.0,112500.0
Ledere av bygge- og anleggsvirksomhet,75080.0,67660.0,55180.0,86230.0
Ledere av eldreomsorg,69750.0,68330.0,61720.0,75670.0
Ledere av forsikring og finansvirksomhet,114970.0,98900.0,78860.0,130700.0
Ledere av helsetjenester,74490.0,66080.0,59950.0,80130.0
Ledere av industriproduksjon mv.,85130.0,75890.0,60570.0,97430.0
Ledere av logistikk og transport mv.,78530.0,70870.0,57080.0,90560.0
Ledere av olje- og gassutvinning mv.,126160.0,111670.0,88320.0,145710.0
Ledere av omsorgstjenester for barn,63540.0,62500.0,58530.0,66380.0
Ledere av sosialomsorg,66400.0,61250.0,55510.0,72920.0
Ledere av utdanning og undervisning,71380.0,69700.0,63210.0,76320.0
"Ledere i skogbruk, gartnerier mv.",70400.0,62500.0,54330.0,76320.0
Ledere innen akvakultur mv.,84570.0,79230.0,69040.0,96860.0
Legespesialister,102840.0,100360.0,82360.0,120530.0
Lektorer mv. (videregående skole),57340.0,57170.0,52940.0,62520.0
Logistikkmedarbeidere,52640.0,50250.0,43170.0,59280.0
Lokomotiv og T-baneførere,65000.0,67350.0,57730.0,72430.0
Lønningsmedarbeidere,52880.0,51750.0,47430.0,57710.0
Malere og byggtapetserere,43340.0,42220.0,38970.0,46170.0
Maskiningeniører,62740.0,59840.0,51630.0,70450.0
"Matematikere, statistikere mv.",64540.0,59830.0,51660.0,70830.0
Mekanikere innen flytekniske fag,64890.0,59790.0,50190.0,76020.0
Melke- og husdyrprodusenter,36840.0,35960.0,29230.0,44420.0
Metalldreiere mv.,44820.0,45110.0,39780.0,51750.0
Meteorologer,59160.0,58190.0,52880.0,62280.0
Miljøarbeidere innen sosiale fagfelt,49100.0,48460.0,45210.0,52650.0
Miljøvernrådgivere,67100.0,60330.0,52550.0,74590.0
Montører av elektriske og elektroniske produkter,46220.0,44730.0,39190.0,51710.0
Montører av mekaniske produkter,45770.0,43370.0,39160.0,48930.0
Murere,45580.0,44650.0,40590.0,49400.0
Møbelsnekkere,42410.0,41040.0,37380.0,46140.0
Møbeltapetserere mv.,43830.0,44050.0,39470.0,48030.0
Nett- og multimediautviklere,63080.0,58330.0,48500.0,74190.0
"Nettverks- og systemteknikere, IKT",68360.0,67000.0,54170.0,79170.0
Offiserer fra fenrik og høyere grad,82710.0,77330.0,65800.0,95690.0
Operatører innen boring mv.,72090.0,72030.0,63490.0,82030.0
Operatører innen glass- og keramisk produksjon,42440.0,40350.0,36640.0,45770.0
Operatører innen kjemisk industri,52600.0,53290.0,45280.0,60850.0
Operatører innen metallurgiske prosessfag,45090.0,44190.0,39300.0,50660.0
Operatører innen næringsmiddelproduksjon,42100.0,40080.0,36150.0,45850.0
Operatører innen papirprodukter,41490.0,41090.0,38290.0,44340.0
Operatører innen plastprodukter,43600.0,42490.0,38500.0,47390.0
Operatører innen produksjon av betong mv.,44760.0,43610.0,39780.0,48710.0
Operatører innen produksjon av gummiprodukter,42150.0,40330.0,35980.0,46060.0
Operatører innen tekstilproduksjon mv.,41480.0,39690.0,35900.0,45060.0
Operatører innen treforedling,43280.0,42290.0,38900.0,46870.0
Operatører innen trelastproduksjon,41530.0,40220.0,37690.0,43650.0
Optikere,54090.0,51620.0,46290.0,58840.0
Organisasjonsrådgivere mv.,74810.0,65830.0,54170.0,84140.0
Overflatebehandlere og lakkerere,44560.0,44430.0,39920.0,48900.0
"Oversettere, tolker mv.",53660.0,50000.0,41880.0,61230.0
PR- og informasjonssjefer,83250.0,75000.0,60330.0,95420.0
"Pakke-, tappe- og etikettmaskinoperatører",44160.0,42990.0,37330.0,51660.0
Personal- og karriererådgivere,65970.0,60830.0,52330.0,73220.0
Personalkontormedarbeidere,55890.0,53570.0,46180.0,62500.0
Personalsjefer,92590.0,84170.0,70540.0,104490.0
Plante- og husdyrprodusenter (kombinasjonsbruk),36280.0,35000.0,30000.0,40590.0
Platearbeidere,44280.0,43840.0,40290.0,48330.0
Politibetjenter mv.,61480.0,60800.0,54370.0,67690.0
Politikere,83890.0,81190.0,66340.0,92840.0
Presisjonsinstrumentmakere og -reparatører,56320.0,50330.0,42950.0,63210.0
Produkt- og klesdesignere,61340.0,58330.0,49170.0,71250.0
Programledere i TV og radio,69000.0,65640.0,51880.0,80060.0
Programvareutviklere,73070.0,69510.0,57010.0,83430.0
Prosessoperatører (oppredning),58310.0,56620.0,52920.0,61220.0
Protese- og tannteknikere,53400.0,51880.0,43910.0,60890.0
Psykologer,63990.0,60170.0,53640.0,74330.0
Radiografer mv.,52960.0,53670.0,47880.0,57380.0
Regissører,62400.0,57870.0,49620.0,71000.0
Regnskapsførere,60480.0,56180.0,49170.0,66250.0
Regnskapsmedarbeidere,53820.0,51000.0,45830.0,58740.0
Reisebyråmedarbeidere mv.,45440.0,43490.0,38500.0,50000.0
Reiseledere og guider,40110.0,38510.0,31540.0,46730.0
Reklame- og markedsføringsrådgivere,60340.0,56250.0,48070.0,67670.0
Reklamedistributører mv.,42770.0,41410.0,37480.0,45830.0
Religiøse yrker,48390.0,48280.0,42400.0,53610.0
Renholdere i bedrifter,39900.0,38490.0,35720.0,41440.0
Renholdsledere i bedrifter,46100.0,43870.0,40090.0,49710.0
Renovasjonsarbeidere,43140.0,42010.0,38790.0,45610.0
Renseri- og vaskerimaskinoperatører,37680.0,38070.0,36250.0,39350.0
Resepsjonister (ekskl. hotell),45200.0,44980.0,38500.0,51150.0
Reseptarer,48970.0,48060.0,43680.0,52830.0
Restaurantsjefer,49330.0,46810.0,40980.0,54490.0
"Revisorer, regnskapsrådgivere",71670.0,66530.0,54580.0,82180.0
Riggere og spleisere,52810.0,50930.0,41670.0,61400.0
Rådgivere innen kompetanseutvikling,66780.0,60070.0,53900.0,71720.0
Rådgivere innen sosiale fagfelt,51440.0,51220.0,47430.0,55130.0
"Rådgivere/forskere, humanistiske fag",54470.0,53470.0,48970.0,59450.0
"Rådgivere/forskere, samfunnsvitenskap",67230.0,64140.0,55440.0,74890.0
"Rådgivere/forskere, samfunnsøkonomi",79200.0,66670.0,58280.0,82110.0
Rørleggere og VVS-montører,48370.0,49350.0,42300.0,54130.0
Saksbehandlere innen sosiale ytelser,46960.0,47130.0,45680.0,48420.0
Salgs- og markedssjefer,89080.0,81490.0,66670.0,101290.0
Salgskonsulenter innen IKT-produkter,75190.0,69110.0,55450.0,87640.0
Salgskonsulenter innen tekniske og medisinske produkter,73770.0,70090.0,60330.0,82600.0
Selgere (engros),64780.0,59410.0,49420.0,73970.0
Sentralbordoperatører,43570.0,42790.0,38870.0,46760.0
Serviceelektronikere,49690.0,46030.0,41930.0,54220.0
Servicemedarbeidere (bensinstasjon),40850.0,37560.0,32750.0,45000.0
Servitører,35700.0,34910.0,31660.0,38970.0
Sikkerhetsanalytikere mv.,76580.0,72580.0,59790.0,88710.0
Sivilagronomer mv.,62380.0,59620.0,53990.0,66110.0
Sivilarkitekter,71110.0,69190.0,58400.0,81320.0
Sivilingeniører (bygg og anlegg),74600.0,69690.0,59320.0,85000.0
Sivilingeniører (elektronikk),81240.0,75770.0,62500.0,92920.0
Sivilingeniører (elkraftteknikk),83110.0,77500.0,65640.0,93040.0
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",95110.0,91020.0,74430.0,109070.0
Sivilingeniører (industri og produksjon),69970.0,62590.0,57630.0,74760.0
Sivilingeniører (kjemi),74040.0,66720.0,55440.0,87450.0
Sivilingeniører (maskin- og marin-teknikk),80230.0,77500.0,63550.0,93540.0
Sivilingeniører (miljøteknikk),70470.0,67620.0,57630.0,79560.0
Sivilingeniører (telekommunikasjon),78080.0,74240.0,60960.0,88330.0
Sjefskokker,45190.0,44150.0,39580.0,49460.0
Sjefssekretærer,58310.0,53100.0,46860.0,64000.0
Skattefunksjonærer,49930.0,48060.0,45680.0,52080.0
Skiftekonduktører mv,59390.0,58550.0,54720.0,64220.0
Skipsmaskinister,77590.0,74680.0,63110.0,88140.0
Skogbrukere,40700.0,39140.0,34100.0,44750.0
Skogteknikere,55940.0,54170.0,49730.0,60240.0
Skoleassistenter,37120.0,36790.0,32250.0,40610.0
"Skreddere, buntmakere mv.",43670.0,45480.0,37850.0,48730.0
Skuespillere,50270.0,50000.0,43890.0,54070.0
"Skulptører, kunstmalere og andre billedkunstnere",50130.0,48630.0,40000.0,56250.0
Skytebaser og sprengningsarbeidere,63460.0,63970.0,52000.0,75980.0
"Slaktere, fiskehandlere mv.",43140.0,41240.0,36090.0,48710.0
Smeder,43490.0,43570.0,39140.0,47100.0
Speditører og befraktere,57710.0,51310.0,45170.0,60410.0
Spesialister i pedagogikk,59130.0,61250.0,51260.0,65080.0
Spesiallærere / spesialpedagoger,52310.0,52140.0,49470.0,56100.0
Spesialsykepleiere,59330.0,58750.0,54170.0,64090.0
Spinne- og nøstemaskinoperatører,39150.0,39130.0,37240.0,40490.0
Sports- og aktivitetsinstruktører,39970.0,38640.0,29880.0,47280.0
"Sports-, rekreasjons- og kultursenterledere",62680.0,58330.0,50000.0,70000.0
Steinhoggere mv.,47130.0,45020.0,41620.0,53910.0
Strategi- og planleggingssjefer,80340.0,78750.0,70340.0,87630.0
Støpere,44210.0,42240.0,39600.0,45480.0
Sveisere,46890.0,45180.0,41020.0,50750.0
Sykepleiere,52510.0,52210.0,47540.0,56500.0
Sykkelreparatører mv.,35640.0,35720.0,29240.0,39910.0
Systemadministratorer,66510.0,61060.0,52500.0,77760.0
Systemanalytikere/-arkitekter,73750.0,70460.0,59110.0,84110.0
Takstmenn,60850.0,56000.0,47150.0,66670.0
Taktekkere,46140.0,45060.0,41670.0,49400.0
Tannleger,73850.0,68330.0,58770.0,82930.0
Tannpleiere,47360.0,46820.0,41510.0,50440.0
Teknikere innen luftfartssikkerhet,75090.0,75170.0,65330.0,81920.0
Teknikere innen radio og tv,55310.0,54140.0,46960.0,62710.0
Teknikere innen telekom,49400.0,46190.0,37970.0,58460.0
Tekniske konservatorer,49230.0,50350.0,45020.0,52960.0
Tekniske tegnere,59250.0,57090.0,50710.0,64430.0
Tele- og IKT-installatører,41100.0,43840.0,32620.0,50630.0
Telefon- og nettselgere,47820.0,44940.0,36880.0,55160.0
Tollere,51030.0,50860.0,46390.0,55260.0
Toppledere i interesseorganisasjoner,75160.0,70310.0,57430.0,86290.0
Toppledere i offentlig administrasjon,114210.0,110420.0,88170.0,140530.0
Torghandlere,59250.0,58340.0,45310.0,69570.0
Transportfunksjonærer,50860.0,51340.0,43340.0,58980.0
Trenere og idrettsdommere,48320.0,45700.0,37270.0,56150.0
Truckførere,44480.0,43260.0,39660.0,48030.0
Trykkere,43860.0,42760.0,37920.0,50610.0
Tømrere og snekkere,43800.0,43460.0,39700.0,48170.0
Universitets- og høyskolelektorer/-lærere,60010.0,57770.0,47580.0,68390.0
Uoppgitt / yrker som ikke kan identifiseres,51780.0,47560.0,37780.0,59000.0
Vaktmestre,47350.0,44860.0,40830.0,51230.0
Varehandelssjefer,59530.0,52000.0,43000.0,66940.0
Varepåfyllere,39050.0,38730.0,33630.0,43840.0
Vektere,41620.0,39710.0,36550.0,43800.0
"Verktøymaker, låsesmeder mv.",47350.0,47300.0,42010.0,53580.0
Vernepleiere,52050.0,52220.0,47800.0,56040.0
Veterinærer,62520.0,60070.0,50000.0,70180.0
"Vevere, strikkere mv. (innen husflidsproduksjon)",37830.0,39010.0,33680.0,41870.0
Yrker innen alternativ medisin,52720.0,52820.0,41670.0,60830.0
Yrkesdykkere,55510.0,54000.0,46930.0,60500.0
Yrkesfaglærere,52680.0,52120.0,48430.0,57140.0
