yrke,Sum alle sektorer,Privat sektor og offentlige eide foretak,Statsforvaltningen,Kommuneforvaltningen
Innkjøpere,53780.0,53820.0,53100.0,
Intervjuere,28000.0,27470.0,31540.0,
Jordmødre,54930.0,,56730.0,49880.0
Journalister,53770.0,54310.0,52520.0,
Jurister og advokater,70950.0,74960.0,59770.0,64630.0
Kjemiingeniører,56240.0,57500.0,43380.0,
Kjøkkenassistenter,30560.0,29760.0,35280.0,34460.0
Kokker,35270.0,35020.0,37160.0,35930.0
Kontormedarbeidere,40800.0,42160.0,38350.0,37530.0
Koreografer og dansere,42300.0,40090.0,45780.0,
Kundesentermedarbeidere,39840.0,39770.0,,41240.0
Lagermedarbeidere og material-forvaltere,39820.0,39820.0,39190.0,
"Landmålere, kartografer mv.",53150.0,55450.0,48900.0,54370.0
Ledere av IKT-enheter,81590.0,82360.0,68910.0,
Ledere av bygge- og anleggsvirksomhet,64180.0,64650.0,68090.0,55460.0
Ledere av eldreomsorg,60060.0,,55560.0,62230.0
Ledere av helsetjenester,64830.0,63450.0,71930.0,55610.0
Ledere av logistikk og transport mv.,67350.0,67460.0,61460.0,
Ledere av omsorgstjenester for barn,54780.0,53370.0,65200.0,55750.0
Ledere av sosialomsorg,57800.0,58020.0,,54360.0
Ledere av utdanning og undervisning,61890.0,61960.0,70500.0,60840.0
"Ledere i skogbruk, gartnerier mv.",58980.0,65430.0,,52450.0
Legespesialister,86350.0,93130.0,85740.0,79540.0
Lektorer mv. (videregående skole),49870.0,50280.0,51220.0,49820.0
Logistikkmedarbeidere,45840.0,46200.0,37330.0,
Lønningsmedarbeidere,46090.0,46780.0,,42530.0
"Matematikere, statistikere mv.",57200.0,68850.0,49260.0,
Metalldreiere mv.,38760.0,38740.0,,39470.0
Miljøarbeidere innen sosiale fagfelt,42870.0,42370.0,45520.0,42450.0
Organisasjonsrådgivere mv.,63550.0,65800.0,56780.0,47110.0
"Oversettere, tolker mv.",43490.0,43830.0,46240.0,38810.0
PR- og informasjonssjefer,71100.0,70800.0,77560.0,
Personal- og karriererådgivere,57320.0,60850.0,52310.0,49900.0
Personalsjefer,81140.0,82850.0,,66530.0
Politikere,70110.0,54560.0,84550.0,75500.0
Psykologer,55260.0,59280.0,56040.0,51970.0
Radiografer mv.,45840.0,46440.0,45760.0,
Regnskapsførere,51980.0,52600.0,47620.0,45310.0
Regnskapsmedarbeidere,45640.0,45660.0,46210.0,42950.0
Reiseledere og guider,33990.0,34180.0,,29820.0
Reklame- og markedsføringsrådgivere,52880.0,53020.0,46580.0,
Religiøse yrker,40860.0,38490.0,,42590.0
Renholdere i virksomheter,33570.0,33450.0,35240.0,33290.0
Renholdsledere i virksomheter,38910.0,38760.0,38360.0,39390.0
Renovasjonsarbeidere,37170.0,37150.0,,37230.0
Renseri- og vaskerimaskinoperatører,32850.0,32660.0,,33770.0
Resepsjonister (ekskl. hotell),37570.0,37580.0,37530.0,35810.0
"Revisorer, regnskapsrådgivere",61460.0,65140.0,49260.0,48400.0
Rådgivere innen sosiale fagfelt,44760.0,45470.0,47650.0,43950.0
"Rådgivere/forskere, humanistiske fag",46620.0,48350.0,43150.0,
"Rådgivere/forskere, samfunnsvitenskap",60150.0,59950.0,61730.0,
"Rådgivere/forskere, samfunnsøkonomi",67120.0,77720.0,56640.0,55020.0
Rørleggere og VVS-montører,42330.0,42360.0,,41020.0
Saksbehandlere innen sosiale ytelser,40240.0,43890.0,39850.0,41800.0
Sivilagronomer mv.,54740.0,57500.0,51130.0,
Sivilarkitekter,62730.0,63500.0,,54410.0
Sivilingeniører (bygg og anlegg),65620.0,67540.0,57360.0,54550.0
Sivilingeniører (elektronikk),69750.0,71170.0,55740.0,
"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",82310.0,83250.0,66490.0,
Sivilingeniører (industri og produksjon),59260.0,70520.0,53120.0,
Sivilingeniører (kjemi),64840.0,68440.0,50600.0,
Sivilingeniører (maskin- og marin-teknikk),70920.0,71940.0,57370.0,
Sivilingeniører (telekommunikasjon),66680.0,70300.0,59960.0,
Sjefskokker,38100.0,37470.0,43350.0,41720.0
Sjefssekretærer,48070.0,51390.0,43720.0,41630.0
Skoleassistenter,32110.0,31900.0,,32140.0
"Skreddere, buntmakere mv.",38010.0,36210.0,40540.0,
Skuespillere,48330.0,52050.0,44630.0,
Spesialister i pedagogikk,51760.0,48780.0,49570.0,54150.0
Spesiallærere / spesialpedagoger,45810.0,42760.0,48250.0,45380.0
Spesialsykepleiere,50640.0,53220.0,51930.0,48070.0
Sports- og aktivitetsinstruktører,35740.0,35620.0,,39140.0
"Sports-, rekreasjons- og kultursenterledere",53390.0,51890.0,67070.0,53290.0
Strategi- og planleggingssjefer,68790.0,70540.0,69360.0,67600.0
Sykepleiere,47020.0,49180.0,46110.0,47300.0
Systemanalytikere/-arkitekter,64520.0,66190.0,56320.0,52140.0
Tannleger,66380.0,70930.0,59900.0,61870.0
Tannpleiere,41610.0,43530.0,,40390.0
Teknikere innen radio og tv,47740.0,47450.0,51750.0,41420.0
Tekniske tegnere,52030.0,52340.0,,49510.0
Tele- og IKT-installatører,36650.0,39140.0,36370.0,16880.0
Toppledere i offentlig administrasjon,98950.0,71600.0,117100.0,87810.0
Transportfunksjonærer,43320.0,42580.0,49680.0,39840.0
Tømrere og snekkere,38010.0,38000.0,44460.0,37060.0
Universitets- og høyskolelektorer/-lærere,52260.0,52150.0,52340.0,45090.0
Uoppgitt / yrker som ikke kan identifiseres,44390.0,44650.0,45370.0,41490.0
Vaktmestre,39890.0,41240.0,39560.0,37980.0
Vektere,36510.0,35890.0,41730.0,47080.0
Vernepleiere,45940.0,45480.0,48000.0,45550.0
Veterinærer,55490.0,55590.0,56400.0,
Yrkesfaglærere,46400.0,46560.0,,45960.0
