yrke,Antall arbeidsforhold med lønnKvinner,Antall arbeidsforhold med lønnMenn,Kvinner,Menn,Kvinners lønn som andel av menns,Kvinners lønn sammenlignet med menns,Andel kvinner
Systemanalytikere/-arkitekter,6299.0,19592.0,59700.0,65570.0,91.04773524477658,-5870.0,24.328917384419295
Takstmenn,366.0,1209.0,46740.0,53570.0,87.250326675378,-6830.0,23.238095238095237
Tannleger,1455.0,949.0,60080.0,66670.0,90.11549422528874,-6590.0,60.524126455906824
Teknikere innen radio og tv,247.0,921.0,50000.0,48680.0,102.71158586688578,1320.0,21.147260273972606
Teknikere innen telekom,336.0,587.0,38790.0,43540.0,89.09049150206705,-4750.0,36.403033586132175
Tekniske tegnere,712.0,1522.0,50660.0,51960.0,97.49807544264819,-1300.0,31.87108325872874
Tele- og IKT-installatører,195.0,3396.0,38160.0,40590.0,94.01330376940133,-2430.0,5.430242272347535
Telefon- og nettselgere,1269.0,1633.0,39760.0,40260.0,98.75807252856433,-500.0,43.72846312887664
Tollere,480.0,590.0,41600.0,44500.0,93.48314606741573,-2900.0,44.85981308411215
Toppledere i interesseorganisasjoner,873.0,1058.0,62140.0,65670.0,94.62463834323131,-3530.0,45.20973588814086
Toppledere i offentlig administrasjon,366.0,583.0,100000.0,100000.0,100.0,0.0,38.56691253951528
Transportfunksjonærer,1046.0,4505.0,43480.0,47060.0,92.39269018274543,-3580.0,18.843451630336876
Trenere og idrettsdommere,637.0,1390.0,32610.0,42500.0,76.72941176470587,-9890.0,31.42575234336458
Trykkere,192.0,753.0,35050.0,40000.0,87.625,-4950.0,20.317460317460316
Tømrere og snekkere,619.0,47616.0,35540.0,39440.0,90.11156186612575,-3900.0,1.2833005079299264
Universitets- og høyskolelektorer/-lærere,12477.0,12019.0,51280.0,54160.0,94.6824224519941,-2880.0,50.934846505551924
Uoppgitt / yrker som ikke kan identifiseres,972.0,3766.0,45860.0,44080.0,104.03811252268602,1780.0,20.514985225833684
Vaktmestre,1053.0,13724.0,39060.0,40590.0,96.23059866962306,-1530.0,7.125938959193341
Varehandelssjefer,13270.0,15235.0,43110.0,54050.0,79.75948196114709,-10940.0,46.553236274337834
