region,Antall,Endring i antall,Endring i prosent
Orkland,9615,325,3.4983853606027986
Os,793,-2,-0.25157232704402516
Osen,378,-10,-2.5773195876288657
Oslo kommune,578206,26559,4.814491876145434
Osterøy,3226,4,0.12414649286157665
Overhalla,1611,60,3.8684719535783367
Porsanger - Porsángu - Porsanki ,2056,-2,-0.09718172983479105
Porsgrunn,19725,730,3.843116609634114
Raarvihke - Røyrvik,228,-17,-6.938775510204081
Rakkestad,3458,-65,-1.8450184501845017
Rana,15104,508,3.4804055905727598
Randaberg,4138,187,4.732978992660087
Rauma,3569,45,1.2769580022701474
Rendalen,559,-15,-2.6132404181184667
Rennebu,1168,7,0.6029285099052542
Rindal,867,-37,-4.092920353982301
Ringebu,2361,43,1.8550474547023295
Ringerike,15949,439,2.8304319793681496
Ringsaker,16498,600,3.774059630142156
Risør,2701,11,0.40892193308550184
Rollag,786,62,8.56353591160221
Råde,4377,375,9.37031484257871
Rælingen,3668,106,2.9758562605277934
Rødøy,496,8,1.639344262295082
Røros,3673,-112,-2.9590488771466315
Røst,234,-9,-3.7037037037037033
Salangen,1056,-48,-4.3478260869565215
Saltdal,2369,40,1.7174753112924002
Samnanger,641,2,0.3129890453834116
Sande (Møre og Romsdal),1576,138,9.596662030598054
Sandefjord,33800,246,0.7331465697085295
Sandnes,44822,636,1.43936993617888
Sarpsborg,31941,660,2.1099069722834947
Sauda,2111,-23,-1.0777881911902532
Sel,2935,-29,-0.9784075573549258
Selbu,1815,15,0.8333333333333334
Seljord,1552,4,0.2583979328165375
Senja,8721,244,2.878376784239707
Sigdal,1657,11,0.6682867557715675
Siljan,591,-79,-11.791044776119403
Sirdal,1234,-37,-2.911093627065303
Skaun,1818,22,1.2249443207126949
Skien,28727,-185,-0.6398727172108467
Skiptvet,1072,32,3.076923076923077
Skjervøy,1555,-83,-5.067155067155067
Skjåk,1122,23,2.0928116469517746
Smøla,1179,-46,-3.7551020408163263
Snåase - Snåsa,838,41,5.144291091593475
Sogndal,7994,342,4.469419759539989
Sokndal,1362,7,0.5166051660516605
Sola,29229,1131,4.02519752295537
Solund,383,-14,-3.5264483627204033
Sortland - Suortá,6062,3,0.04951312097705893
Stad,4658,6,0.1289767841788478
Stange,7891,-64,-0.8045254556882464
Stavanger,98677,3338,3.5011904886772465
Steigen,1364,97,7.655880031570639
Steinkjer,12618,493,4.0659793814433
Stjørdal,12595,822,6.982077635267137
Stor-Elvdal,1005,-17,-1.663405088062622
Stord,12478,776,6.631345069218937
Storfjord - Omasvuotna - Omasvuono,960,-41,-4.095904095904096
Strand,5005,-47,-0.9303246239113222
Stranda,2897,-3,-0.10344827586206896
Stryn,4396,54,1.243666513127591
Sula,3541,-6,-0.16915703411333521
Suldal,2325,-40,-1.6913319238900635
Sunndal,3823,87,2.328693790149893
Sunnfjord,14028,330,2.4091108190976787
Surnadal,3180,-28,-0.8728179551122194
Sveio,1662,-47,-2.7501462843768287
Sykkylven,4063,-109,-2.6126558005752636
Sømna,854,-9,-1.0428736964078795
Søndre Land,1722,-35,-1.9920318725099602
Sør-Aurdal,1359,-11,-0.8029197080291971
Sør-Fron,1110,1,0.09017132551848511
Sør-Odal,2679,43,1.6312594840667678
Sør-Varanger,6043,110,1.8540367436372829
Sørfold,997,-26,-2.541544477028348
Sørreisa,1150,-25,-2.127659574468085
Time,9131,342,3.891227670952327
Tingvoll,1099,26,2.423112767940354
Tinn,2807,42,1.5189873417721518
Tjeldsund,1620,-35,-2.1148036253776437
Tokke,1074,14,1.3207547169811322
Tolga,563,-10,-1.7452006980802792
Tromsø,52411,1719,3.391067624082696
Trondheim,142134,5868,4.306283298841971
Trysil,3088,-51,-1.6247212488053522
Træna,242,-25,-9.363295880149813
Tvedestrand,2630,129,5.157936825269892
Tydal,326,-5,-1.5105740181268883
Tynset,3684,6,0.1631321370309951
Tysnes,1340,19,1.4383043149129449
Tysvær,5645,54,0.965837953854409
Tønsberg,36628,458,1.2662427426043683
Ullensaker,31769,2974,10.328181976037506
Ullensvang,6060,110,1.8487394957983194
Ulstein,5211,-161,-2.9970215934475055
Ulvik,405,-6,-1.4598540145985401
Unjárga - Nesseby,337,-9,-2.601156069364162
Utsira,115,20,21.052631578947366
Vadsø,3133,-12,-0.3815580286168521
Vaksdal,1326,-48,-3.4934497816593884
Valle,573,-20,-3.372681281618887
Vang,844,-42,-4.740406320541761
Vanylven,1378,-65,-4.504504504504505
Vardø,930,73,8.518086347724621
Vefsn,7783,76,0.9861165174516674
Vega,372,-29,-7.231920199501247
Vegårshei,637,22,3.577235772357724
Vennesla,5404,-11,-0.20313942751615882
Verdal,7016,122,1.769654772265738
Vestby,10265,305,3.0622489959839356
Vestnes,3813,-73,-1.878538342768914
Vestre Slidre,921,37,4.18552036199095
Vestre Toten,7255,-9,-0.12389867841409692
Vestvågøy,5675,102,1.8302530055625335
Vevelstad,132,-16,-10.81081081081081
Vik,1259,-14,-1.0997643362136684
Vindafjord,5893,7,0.11892626571525654
Vinje,2021,-22,-1.076847772883015
Volda,5935,150,2.592912705272256
Voss,8386,40,0.4792715073088905
Vågan,5368,-145,-2.6301469254489387
Vågå,1601,-21,-1.2946979038224413
Våler (Innlandet),1503,-37,-2.4025974025974026
Våler (Viken),1652,-27,-1.6081000595592614
Værøy,373,16,4.481792717086835
Åfjord,2406,-52,-2.115541090317331
Ål,2845,42,1.4983945772386729
Ålesund,41893,206,0.49415885048096525
Åmli,844,9,1.0778443113772456
Åmot,1911,-29,-1.4948453608247423
Årdal,2696,-13,-0.47988187523071246
Ås,13054,673,5.435748324044908
Åseral,674,-22,-3.1609195402298855
Åsnes,2954,25,0.8535336292249914
Øksnes,2281,122,5.650764242704956
Ørland,5232,47,0.9064609450337512
Ørsta,4966,82,1.678951678951679
Østre Toten,5423,79,1.4782934131736527
Øvre Eiker,7454,236,3.2696037683568857
Øyer,2145,-49,-2.2333637192342755
Øygarden,16320,352,2.2044088176352705
Øystre Slidre,1582,-53,-3.241590214067278
