REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estland,14.0,14.0,12.6,11.0,9.3999996,8.6999998,8.3999996,7.5999999,6.1999998,7.5999999,8.1999998,7.0,6.0,5.5999999,5.3000002,4.5,5.0,4.6999998,5.9000001,6.0,
Finland,74.199997,76.599998,75.699997,74.5,73.5,72.699997,71.900002,71.099998,69.900002,72.5,71.400002,69.599998,69.199997,67.5,67.800003,67.5,65.699997,62.900002,60.0,58.799999,
Frankrike,10.8,10.8,10.8,10.8,10.5,10.5,,,10.6,,10.8,,,11.0,,,10.8,,,,
Storbritannia,29.799999,29.299999,28.799999,29.299999,28.799999,28.6,28.299999,28.0,27.5,27.4,26.6,26.0,26.1,25.6,25.0,24.700001,23.6,23.299999,23.4,23.5,
Hellas,,24.9,,,24.1,,,22.6,,,22.200001,,,23.1,,,19.0,,,,
Ungarn,23.799999,20.4,,18.9,17.9,17.299999,,,15.3,,,,12.5,,11.0,,9.1999998,,8.3000002,,
Irland,35.900002,35.0,35.099998,34.900002,33.599998,32.400002,31.700001,30.5,30.9,31.9,31.6,31.6,30.1,28.5,26.299999,25.4,23.4,24.299999,24.1,25.1,26.200001
Island,89.099998,88.900002,93.300003,86.5,84.099998,84.099998,85.199997,84.900002,84.699997,84.900002,85.199997,85.0,85.300003,88.900002,90.400002,91.599998,90.400002,91.0,90.699997,90.699997,92.199997
Israel,37.700001,,,,,,,30.299999,,,,,22.799999,,,,,25.0,,,
Italia,34.799999,34.200001,33.700001,33.599998,34.0,33.799999,33.599998,34.0,33.900002,34.700001,35.299999,35.200001,35.5,35.700001,35.400002,34.200001,33.599998,33.200001,32.599998,32.5,
Japan,21.5,20.9,20.299999,19.700001,19.299999,18.799999,18.299999,18.299999,18.200001,18.5,18.4,19.0,18.0,17.799999,17.6,17.5,17.4,17.200001,17.0,16.799999,
Sør-Korea,11.4,11.5,11.3,10.7,10.3,9.8999996,10.0,10.5,10.2,9.8999996,9.6000004,9.8000002,9.8999996,10.1,10.1,10.0,10.0,10.5,11.6,,
Litauen,,18.5,,12.2,,,9.8000002,9.3000002,8.8999996,10.0,10.1,9.6999998,9.0,8.3999996,8.1000004,7.9000001,7.6999998,7.6999998,7.0999999,7.4000001,
Luxembourg,,,,44.0,43.400002,42.599998,41.400002,39.5,37.599998,36.799999,36.099998,36.599998,35.299999,34.799999,34.099998,33.299999,32.299999,32.099998,30.4,28.200001,
Latvia,,,,21.0,,,18.0,16.700001,15.2,15.2,15.1,13.7,13.2,12.9,12.8,12.7,12.4,12.3,11.6,,
Mexico,16.700001,,15.5,,,16.9,16.299999,16.700001,15.6,15.3,14.5,14.7,14.0,13.8,13.6,13.1,12.7,12.5,12.0,12.3,12.4
Nederland,22.299999,21.6,21.4,20.9,21.299999,22.1,21.4,20.200001,20.0,20.0,19.5,19.299999,18.799999,18.200001,18.1,17.700001,17.299999,16.799999,16.5,15.4,
Norge,53.599998,52.599998,52.799999,51.799999,51.599998,51.200001,51.099998,50.099998,49.799999,50.299999,50.5,49.900002,49.900002,49.799999,50.099998,49.799999,50.0,50.0,49.900002,50.400002,
New Zealand,22.4,22.299999,21.799999,21.700001,21.700001,22.299999,21.799999,20.799999,21.4,21.5,21.4,20.5,20.299999,19.5,18.6,17.9,17.799999,17.5,17.700001,,
OECD,20.9,20.299999,20.0,19.700001,19.299999,19.0,18.299999,18.200001,18.0,18.1,17.799999,17.700001,17.299999,17.1,16.799999,16.5,16.200001,16.0,15.9,15.8,
Polen,23.5,22.299999,22.799999,22.9,22.9,23.799999,17.9,16.700001,15.7,15.4,17.4,17.299999,16.6,,16.5,,14.1,13.4,,,
Portugal,,,20.5,21.1,21.6,,21.1,,20.700001,20.4,19.6,18.6,,,,16.1,15.3,,,,
Slovakia,34.200001,32.5,30.1,27.700001,25.4,23.5,20.6,18.700001,16.799999,16.0,16.4,14.5,14.5,14.1,13.4,12.6,11.8,11.5,11.3,,
Slovenia,44.200001,43.299999,47.099998,45.299999,37.099998,37.5,32.200001,30.6,29.700001,40.400002,32.599998,36.700001,26.799999,26.200001,29.4,23.799999,,,,,
Sverige,81.0,78.699997,78.0,77.199997,76.400002,75.699997,74.300003,70.800003,68.300003,68.400002,68.199997,67.5,67.5,67.699997,67.300003,67.0,66.699997,66.099998,65.5,65.199997,
Tyrkia,12.5,12.5,11.9,11.2,10.5,10.3,9.3999996,8.3000002,7.3000002,7.3000002,7.3000002,7.0999999,6.3000002,6.3000002,6.9000001,8.0,8.1999998,8.6000004,9.1999998,9.8999996,
USA,12.9,12.9,12.8,12.4,12.0,12.0,11.5,11.6,11.9,11.8,11.4,11.3,10.8,10.8,10.7,10.6,10.3,10.3,10.1,9.8999996,10.3
