yrke,2016,2017,2018,2019,2020,Endring sist år,Endring siste 5 år
Glassarbeidere,34120.0,35430.0,36310.0,37800.0,38540.0,1.9576719576719577,12.954279015240328
Grafiske- og multimediadesignere,43010.0,44760.0,46080.0,47680.0,49420.0,3.649328859060403,14.9035108114392
Grunnskolelærere,42740.0,43960.0,44640.0,46170.0,46460.0,0.6281134936105697,8.703790360318203
"Gull- og sølvsmeder, gravører mv.",33950.0,34760.0,35930.0,37310.0,38380.0,2.8678638434735997,13.048600883652432
Gulv- og flisleggere,35080.0,35700.0,36370.0,38780.0,40280.0,3.8679731820526047,14.823261117445838
Handels- og skipsmeglere,100410.0,91440.0,102910.0,104840.0,122030.0,16.396413582602058,21.53171994821233
Havbruksarbeidere,40490.0,42250.0,43700.0,44770.0,45820.0,2.345320527138709,13.163744134354161
Helse- og miljøkontrollører,53840.0,54740.0,56660.0,58380.0,58930.0,0.9421034600890715,9.453937592867756
Helsefagarbeidere,37460.0,38480.0,39110.0,40550.0,40900.0,0.8631319358816275,9.183128670581954
Helsesekretærer,33420.0,34030.0,35070.0,35820.0,36430.0,1.7029592406476828,9.0065828845003
Hjelpearbeidere i anlegg,34520.0,35200.0,36470.0,37710.0,38470.0,2.015380535666932,11.442641946697567
Hjelpearbeidere i bygg,31220.0,31840.0,32990.0,34120.0,34910.0,2.3153575615474797,11.819346572709803
Hjelpearbeidere i gartneri mv.,30670.0,31140.0,31850.0,32810.0,33580.0,2.346845473940872,9.488099119660905
Hjelpearbeidere i husdyrproduksjon,24370.0,24890.0,25410.0,26090.0,26500.0,1.5714833269451896,8.740254411161263
Hjelpearbeidere i kombinasjonsbruk,26620.0,25610.0,27290.0,28520.0,29200.0,2.3842917251051894,9.691960931630353
Hjelpearbeidere i nyttevekstproduksjon,23520.0,27250.0,29310.0,27250.0,28940.0,6.201834862385321,23.04421768707483
Hjemmehjelper,33580.0,34150.0,35110.0,35780.0,36160.0,1.0620458356623812,7.6831447290053605
Hotellresepsjonister,28670.0,29380.0,30390.0,31270.0,31980.0,2.27054685001599,11.545169166376002
Hotellsjefer,46950.0,47420.0,48110.0,48470.0,47210.0,-2.5995461109964926,0.5537806176783813
Husholdere,35810.0,37080.0,38120.0,39960.0,40180.0,0.5505505505505506,12.203295168947221
Håndpakkere mv.,32390.0,32580.0,34620.0,35660.0,35910.0,0.7010656197420079,10.86755171349182
Høyere saksbehandlere i offentlig og privat virksomhet,46170.0,47480.0,49080.0,50710.0,51490.0,1.538158154210215,11.522633744855968
Idrettsutøvere,41150.0,41150.0,45510.0,44300.0,45760.0,3.295711060948081,11.202916160388822
Industrisyere,30800.0,31660.0,32520.0,33760.0,34220.0,1.3625592417061612,11.103896103896103
Informasjonsrådgivere,47630.0,48930.0,50800.0,52410.0,54050.0,3.1291738217897347,13.478899853033802
Informasjonsskrankemedarbeidere,36940.0,36010.0,35440.0,37720.0,39870.0,5.6998939554612935,7.931781266919328
"Ingeniører innen petroleum, bergverk og metallurgi",65900.0,66910.0,69080.0,71930.0,72080.0,0.20853607674127622,9.37784522003035
Inkassomedarbeidere mv.,37520.0,38550.0,39080.0,41230.0,41460.0,0.5578462284744118,10.501066098081022
Innbindere mv.,31240.0,31450.0,32420.0,33990.0,33640.0,-1.0297146219476316,7.682458386683738
Innehavere av kiosk/liten butikk,33610.0,34910.0,35520.0,37570.0,38530.0,2.5552302368911364,14.638500446295746
Innkjøpere,48800.0,50270.0,50280.0,52330.0,53780.0,2.7708771259315883,10.204918032786885
Interiørdesignere og dekoratører,38800.0,39160.0,40100.0,41670.0,43050.0,3.311735061195104,10.95360824742268
Internett-teknikere,48650.0,49810.0,51970.0,53740.0,54940.0,2.232973576479345,12.929085303186023
Intervjuere,24710.0,24660.0,25530.0,26080.0,28000.0,7.361963190184049,13.314447592067987
Isolatører mv.,35230.0,37020.0,37230.0,38950.0,38470.0,-1.2323491655969192,9.196707351688902
Jordbruks- og skogbruksmaskinførere,33540.0,33950.0,35820.0,37480.0,38320.0,2.2411953041622197,14.251639833035181
Jordmødre,50490.0,51090.0,52930.0,54740.0,54930.0,0.34709535988308365,8.793820558526441
Journalister,47580.0,48820.0,50920.0,52280.0,53770.0,2.8500382555470543,13.009667927700713
Jurister og advokater,64380.0,65410.0,67190.0,69460.0,70950.0,2.1451194932335156,10.205032618825722
Kiropraktorer mv.,46980.0,49000.0,49780.0,51210.0,50400.0,-1.5817223198594026,7.2796934865900385
Kjemiingeniører,54030.0,55280.0,56980.0,58530.0,56240.0,-3.912523492226209,4.090320192485656
Kjemikere,61690.0,63170.0,64410.0,66770.0,66980.0,0.31451250561629474,8.575133733182039
Kjøkkenassistenter,27260.0,27800.0,28820.0,29860.0,30560.0,2.344273275284662,12.10564930300807
Kjøreskolelærere,41660.0,42790.0,44110.0,45110.0,46080.0,2.150299268454888,10.609697551608258
Kokker,31820.0,32240.0,33260.0,34580.0,35270.0,1.995373048004627,10.842237586423632
Konduktører,45760.0,49170.0,50140.0,49760.0,52130.0,4.762861736334405,13.920454545454545
Konferanse- og arrangementsplanleggere mv.,45480.0,47000.0,48280.0,50910.0,51910.0,1.9642506383814575,14.138082673702726
Kontormedarbeidere,36570.0,37550.0,38690.0,40090.0,40800.0,1.77101521576453,11.566858080393766
Kontrolloperatører innen kjemisk prosessindustri,49150.0,50540.0,52030.0,53080.0,53160.0,0.15071590052750566,8.158697863682605
Kontrolloperatører innen metallproduksjon,44780.0,43530.0,46030.0,47590.0,47930.0,0.7144358058415633,7.0343903528360885
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,64150.0,63910.0,67290.0,69970.0,68040.0,-2.75832499642704,6.063912704598597
Kopper- og blikkenslagere,35160.0,36570.0,37260.0,38640.0,39550.0,2.355072463768116,12.485779294653014
Koreografer og dansere,39510.0,40430.0,40160.0,41240.0,42300.0,2.5703200775945687,7.061503416856492
Korn- og grønnsaksprodusenter,28890.0,30800.0,31410.0,31940.0,32750.0,2.5360050093926114,13.361024575977847
Kosmetologer mv.,30930.0,31410.0,32550.0,32940.0,34120.0,3.5822707953855497,10.313611380536695
Kran- og heisførere mv.,38830.0,40470.0,41590.0,43250.0,44200.0,2.1965317919075145,13.829513262941026
Kuldemontører mv.,40840.0,41680.0,42870.0,44150.0,45230.0,2.4462061155152885,10.74926542605289
Kundebehandlere lån og kreditt,47550.0,49370.0,51760.0,55360.0,56100.0,1.3367052023121389,17.981072555205046
"Kundebehandlere, bank og postkontor",35630.0,36290.0,37180.0,38320.0,38810.0,1.278705636743215,8.925063149031715
Kundesentermedarbeidere,35810.0,36540.0,37800.0,38740.0,39840.0,2.839442436757873,11.25383970957833
Lagermedarbeidere og material-forvaltere,35870.0,36780.0,37920.0,39070.0,39820.0,1.919631430765293,11.01198773348202
"Landmålere, kartografer mv.",47900.0,49020.0,51040.0,53170.0,53150.0,-0.03761519653940192,10.960334029227557
Landskapsarkitekter,56040.0,57420.0,58750.0,59920.0,60740.0,1.3684913217623498,8.386866523911491
Laste- og lossearbeidere,33100.0,33570.0,34440.0,36060.0,37260.0,3.3277870216306153,12.567975830815712
Lastebil- og trailersjåfører,35440.0,36160.0,37360.0,38290.0,39070.0,2.0370854008879604,10.242663656884876
Ledere av IKT-enheter,72260.0,73960.0,76540.0,78750.0,81590.0,3.606349206349206,12.911707722114585
Ledere av bygge- og anleggsvirksomhet,57480.0,58950.0,60950.0,63340.0,64180.0,1.3261761919797914,11.656228253305498
Ledere av eldreomsorg,53920.0,55600.0,57560.0,59910.0,60060.0,0.25037556334501754,11.387240356083087
Ledere av forsikring og finansvirksomhet,85220.0,87500.0,89970.0,94710.0,98300.0,3.790518424664766,15.34850973949777
Ledere av helsetjenester,58070.0,60050.0,62310.0,64170.0,64830.0,1.0285179990649838,11.641122782848287
Ledere av industriproduksjon mv.,65890.0,67570.0,69270.0,71230.0,72370.0,1.6004492489119753,9.834572772803158
Ledere av logistikk og transport mv.,60750.0,62330.0,64360.0,66610.0,67350.0,1.1109443026572585,10.864197530864198
Ledere av olje- og gassutvinning mv.,102210.0,102940.0,106390.0,110480.0,108230.0,-2.0365677045619117,5.8898346541434305
Ledere av omsorgstjenester for barn,49170.0,50670.0,52600.0,54790.0,54780.0,-0.01825150574922431,11.409395973154362
Ledere av sosialomsorg,52410.0,53910.0,55450.0,56490.0,57800.0,2.318994512303062,10.284296889906507
Ledere av utdanning og undervisning,55510.0,57330.0,59040.0,61400.0,61890.0,0.7980456026058631,11.493424608178707
"Ledere i skogbruk, gartnerier mv.",52690.0,54680.0,55980.0,58200.0,58980.0,1.3402061855670102,11.937749098500666
Ledere innen akvakultur mv.,60730.0,65830.0,66790.0,68600.0,71290.0,3.9212827988338192,17.388440638893464
Legespesialister,78630.0,81120.0,83110.0,85580.0,86350.0,0.8997429305912596,9.818135571664758
Lektorer mv. (videregående skole),45970.0,47560.0,48220.0,49810.0,49870.0,0.12045773940975708,8.48379377855123
Logistikkmedarbeidere,42240.0,43750.0,44880.0,45630.0,45840.0,0.46022353714661407,8.522727272727272
Lokomotiv og T-baneførere,52540.0,54350.0,55350.0,56250.0,57010.0,1.3511111111111112,8.507803578226113
Lønningsmedarbeidere,41440.0,42770.0,44140.0,45460.0,46090.0,1.3858336999560052,11.221042471042471
Malere og byggtapetserere,33920.0,34680.0,35730.0,36970.0,37690.0,1.9475250202867191,11.11438679245283
Maskiningeniører,50250.0,51520.0,53180.0,55010.0,55260.0,0.45446282494091983,9.970149253731343
"Matematikere, statistikere mv.",51430.0,53220.0,54410.0,55810.0,57200.0,2.4905930836767602,11.219132801866614
Mekanikere innen flytekniske fag,52720.0,53510.0,53330.0,55960.0,58540.0,4.610436025732667,11.039453717754173
Melke- og husdyrprodusenter,27920.0,28450.0,29520.0,30370.0,31140.0,2.53539677313138,11.532951289398282
Metalldreiere mv.,35060.0,35980.0,37320.0,38390.0,38760.0,0.963792654337067,10.553337136337706
Meteorologer,49790.0,51060.0,53120.0,53720.0,53630.0,-0.16753536857781087,7.712392046595702
Miljøarbeidere innen sosiale fagfelt,38890.0,40100.0,41150.0,42540.0,42870.0,0.7757404795486601,10.233993314476729
Miljøvernrådgivere,52610.0,52420.0,53760.0,54910.0,56120.0,2.2036059005645603,6.671735411518723
Montører av elektriske og elektroniske produkter,37210.0,38110.0,38720.0,39630.0,40770.0,2.8766086298258897,9.567320612738511
Montører av mekaniske produkter,35050.0,36820.0,38240.0,39430.0,40510.0,2.7390311945219374,15.577746077032812
Murere,35130.0,35920.0,37150.0,38730.0,39490.0,1.9623031241931317,12.411044691147168
Måleravlesere mv.,35860.0,33630.0,34510.0,37510.0,37440.0,-0.18661690215942417,4.406023424428333
Møbelsnekkere,32890.0,33870.0,35010.0,35990.0,37100.0,3.0841900527924424,12.800243235025842
Møbeltapetserere mv.,33770.0,35400.0,36200.0,37400.0,37120.0,-0.7486631016042781,9.920047379330766
Nett- og multimediautviklere,47150.0,46310.0,48660.0,50870.0,51580.0,1.3957145665421662,9.395546129374337
"Nettverks- og systemteknikere, IKT",50630.0,53840.0,54670.0,56510.0,57880.0,2.4243496726243143,14.319573375469089
Offiserer fra fenrik og høyere grad,56900.0,60110.0,61840.0,65230.0,66620.0,2.13092135520466,17.082601054481547
Operatører innen boring mv.,57830.0,58050.0,60260.0,62270.0,62820.0,0.8832503613296933,8.628739408611448
Operatører innen glass- og keramisk produksjon,33620.0,34470.0,35610.0,36620.0,37360.0,2.020753686510104,11.124330755502678
Operatører innen kjemisk industri,40900.0,41820.0,43540.0,44780.0,46350.0,3.5060294774452885,13.32518337408313
Operatører innen metallurgiske prosessfag,35570.0,36550.0,37800.0,39580.0,39370.0,-0.5305709954522486,10.683159966263705
Operatører innen næringsmiddelproduksjon,33180.0,34020.0,34930.0,36080.0,36540.0,1.2749445676274944,10.126582278481013
Operatører innen papirprodukter,32340.0,33640.0,33690.0,34570.0,34760.0,0.5496094879953718,7.482993197278912
Operatører innen plastprodukter,34050.0,34690.0,35820.0,37190.0,37610.0,1.12933584296854,10.455212922173276
Operatører innen produksjon av betong mv.,35520.0,36310.0,37130.0,38430.0,38860.0,1.1189175123601354,9.403153153153152
Operatører innen produksjon av gummiprodukter,34830.0,36110.0,36940.0,38470.0,40030.0,4.055107876267221,14.929658340511054
Operatører innen tekstilproduksjon mv.,33190.0,33840.0,34890.0,36230.0,36060.0,-0.4692243996687827,8.647182886411569
Operatører innen treforedling,33700.0,34390.0,35490.0,36730.0,37620.0,2.4230873945004086,11.632047477744807
Operatører innen trelastproduksjon,31940.0,32960.0,34050.0,35240.0,36150.0,2.5822928490351873,13.180964308077645
Optikere,43800.0,44870.0,45840.0,46810.0,48140.0,2.8412732322153387,9.908675799086758
Organisasjonsrådgivere mv.,58310.0,58350.0,60280.0,62280.0,63550.0,2.0391779062299293,8.98645172354656
Overflatebehandlere og lakkerere,34420.0,35350.0,36530.0,38230.0,39080.0,2.2233847763536487,13.538640325392215
"Oversettere, tolker mv.",37000.0,37370.0,41120.0,42420.0,43490.0,2.5223950966525224,17.54054054054054
PR- og informasjonssjefer,62560.0,64560.0,66450.0,69010.0,71100.0,3.028546587451094,13.650895140664963
"Pakke-, tappe- og etikettmaskinoperatører",36980.0,38840.0,40020.0,39980.0,41190.0,3.026513256628314,11.384532179556517
Personal- og karriererådgivere,51150.0,52390.0,54440.0,56020.0,57320.0,2.320599785790789,12.06256109481916
Personalkontormedarbeidere,42360.0,44140.0,46810.0,47680.0,48830.0,2.4119127516778525,15.273843248347498
Personalsjefer,73390.0,75110.0,76810.0,79620.0,81140.0,1.9090680733484051,10.560021801335331
Plante- og husdyrprodusenter (kombinasjonsbruk),27300.0,27850.0,28550.0,29400.0,30410.0,3.4353741496598635,11.391941391941392
Platearbeidere,34600.0,35790.0,36560.0,38070.0,38480.0,1.0769634883110062,11.213872832369942
Politibetjenter mv.,47670.0,47890.0,49560.0,51520.0,52360.0,1.6304347826086956,9.838472834067549
Politikere,63700.0,65810.0,67260.0,73000.0,70110.0,-3.9589041095890414,10.062794348508634
Postbud og postsorterere,33570.0,34220.0,35120.0,36090.0,36910.0,2.2720975339429206,9.949359547214776
Presisjonsinstrumentmakere og -reparatører,38340.0,41380.0,42060.0,44570.0,45880.0,2.9391967691272156,19.666145018257694
Produkt- og klesdesignere,47580.0,48910.0,50920.0,52330.0,54440.0,4.032103955665966,14.417822614543926
Programledere i TV og radio,51100.0,51740.0,52360.0,54220.0,55850.0,3.0062707488011804,9.295499021526417
Programvareutviklere,55450.0,56580.0,58630.0,60460.0,62110.0,2.729077075752564,12.010820559062218
Prosessoperatører (oppredning),43350.0,47840.0,47310.0,49120.0,49460.0,0.6921824104234527,14.094579008073818
Protese- og tannteknikere,41110.0,42480.0,43860.0,45410.0,45950.0,1.1891653820744328,11.773291170031623
Psykologer,49710.0,51830.0,53510.0,55250.0,55260.0,0.018099547511312215,11.164755582377792
Radiografer mv.,41430.0,42210.0,43980.0,45440.0,45840.0,0.8802816901408451,10.644460535843592
Regissører,50370.0,51330.0,52610.0,54140.0,54680.0,0.9974141115626155,8.556680563827674
Regnskapsførere,46180.0,47580.0,48980.0,50490.0,51980.0,2.951079421667657,12.55954958856648
